"","Participant","CategoryStructure","Manipulation","Trials","System","NegativeZ"
"212",106,"II","task",NA,NA,1
"213",107,"RB","control",15,"Explicit",NA
"214",107,"II","control",NA,NA,1
"215",108,"RB","task",8,"Explicit",NA
"216",108,"II","task",53,"Explicit",NA
"217",109,"RB","control",8,"Explicit",NA
"218",109,"II","control",56,"Explicit",NA
"219",110,"RB","task",26,"Explicit",NA
"220",110,"II","task",22,"Explicit",NA
"221",111,"RB","control",50,"Explicit",NA
"222",111,"II","control",NA,NA,1
"223",112,"RB","task",55,"Explicit",1
"224",112,"II","task",189,"Explicit",1
"225",113,"RB","control",9,"Explicit",NA
"226",113,"II","control",46,"Explicit",NA
"227",114,"RB","task",8,"Explicit",NA
"228",114,"II","task",9,"Explicit",NA
"229",115,"RB","control",8,"Explicit",NA
"230",115,"II","control",65,"Explicit",NA
"231",116,"RB","task",45,"Explicit",1
"232",116,"II","task",15,"Explicit",NA
"233",117,"RB","control",17,"Explicit",NA
"234",117,"II","control",8,"Explicit",NA
"235",118,"RB","task",8,"Explicit",NA
"236",118,"II","task",131,"Explicit",1
"237",119,"RB","control",9,"Explicit",NA
"238",119,"II","control",58,"Explicit",NA
"239",120,"RB","task",8,"Explicit",NA
"240",120,"II","task",43,"Explicit",NA
"241",121,"RB","control",12,"Explicit",NA
"242",121,"II","control",148,"Explicit",NA
"243",122,"RB","task",8,"Explicit",NA
"244",122,"II","task",57,"Explicit",NA
"245",123,"RB","control",8,"Explicit",NA
"246",123,"II","control",NA,NA,1
"247",124,"RB","task",9,"Explicit",NA
"248",124,"II","task",29,"Explicit",NA
"249",125,"RB","control",18,"Explicit",NA
"250",125,"II","control",38,"Explicit",NA
"251",126,"RB","task",NA,NA,1
"252",126,"II","task",31,"Explicit",NA
"253",127,"RB","control",25,"Explicit",NA
"254",127,"II","control",25,"Explicit",NA
"255",128,"RB","task",45,"Explicit",1
"256",128,"II","task",NA,NA,1
"257",129,"RB","control",11,"Explicit",NA
"258",129,"II","control",109,"Explicit",NA
"259",130,"RB","task",114,"Procedural",1
"260",130,"II","task",88,"Explicit",NA
"261",131,"RB","control",17,"Explicit",NA
"262",131,"II","control",36,"Explicit",NA
"263",132,"RB","task",8,"Explicit",NA
"264",132,"II","task",14,"Explicit",NA
"265",133,"RB","control",28,"Explicit",NA
"266",133,"II","control",98,"Explicit",NA
"267",134,"RB","task",36,"Explicit",NA
"268",134,"II","task",94,"Explicit",1
"269",135,"RB","control",39,"Explicit",NA
"270",135,"II","control",NA,NA,1
"271",136,"RB","task",97,"Explicit",1
"272",136,"II","task",NA,NA,1
"273",137,"RB","control",28,"Explicit",NA
"274",137,"II","control",9,"Explicit",NA
"275",138,"RB","task",80,"Explicit",1
"276",138,"II","task",17,"Explicit",NA
"277",139,"RB","control",8,"Explicit",NA
"278",139,"II","control",18,"Explicit",NA
"279",140,"RB","task",12,"Explicit",NA
"280",140,"II","task",10,"Explicit",NA
"281",141,"RB","control",9,"Explicit",NA
"282",141,"II","control",101,"Explicit",NA
"283",142,"RB","task",106,"Explicit",1
"284",142,"II","task",130,"Procedural",1
"285",143,"RB","control",8,"Explicit",NA
"286",143,"II","control",21,"Explicit",NA
"287",144,"RB","task",NA,NA,1
"288",144,"II","task",12,"Explicit",NA
"289",145,"RB","control",9,"Explicit",NA
"290",145,"II","control",17,"Explicit",NA
"291",146,"RB","task",154,"Explicit",1
"292",146,"II","task",115,"Explicit",1
