"","Participant","CategoryStructure","Manipulation","Trials","System","NegativeZ"
"3175",1588,"RB","task",NA,NA,1
"3176",1588,"II","task",14,"Explicit",NA
"3177",1589,"RB","control",13,"Explicit",NA
"3178",1589,"II","control",20,"Explicit",NA
"3179",1590,"RB","task",17,"Explicit",NA
"3180",1590,"II","task",52,"Explicit",NA
"3181",1591,"RB","control",33,"Explicit",NA
"3182",1591,"II","control",17,"Explicit",NA
"3183",1592,"RB","task",40,"Explicit",1
"3184",1592,"II","task",45,"Explicit",1
"3185",1593,"RB","control",12,"Explicit",NA
"3186",1593,"II","control",15,"Explicit",NA
"3187",1594,"RB","task",18,"Explicit",NA
"3188",1594,"II","task",74,"Explicit",NA
"3189",1595,"RB","control",11,"Explicit",NA
"3190",1595,"II","control",12,"Explicit",NA
"3191",1596,"RB","task",8,"Explicit",NA
"3192",1596,"II","task",151,"Explicit",NA
"3193",1597,"RB","control",16,"Explicit",NA
"3194",1597,"II","control",194,"Explicit",1
"3195",1598,"RB","task",17,"Explicit",NA
"3196",1598,"II","task",27,"Explicit",NA
"3197",1599,"RB","control",13,"Explicit",NA
"3198",1599,"II","control",10,"Explicit",NA
"3199",1600,"RB","task",135,"Procedural",1
"3200",1600,"II","task",67,"Explicit",NA
"3201",1601,"RB","control",14,"Explicit",NA
"3202",1601,"II","control",100,"Explicit",NA
"3203",1602,"RB","task",63,"Explicit",1
"3204",1602,"II","task",139,"Explicit",1
"3205",1603,"RB","control",26,"Explicit",NA
"3206",1603,"II","control",132,"Procedural",NA
"3207",1604,"RB","task",8,"Explicit",NA
"3208",1604,"II","task",141,"Explicit",1
"3209",1605,"RB","control",16,"Explicit",NA
"3210",1605,"II","control",136,"Explicit",NA
"3211",1606,"RB","task",8,"Explicit",NA
"3212",1606,"II","task",24,"Explicit",NA
"3213",1607,"RB","control",8,"Explicit",NA
"3214",1607,"II","control",11,"Explicit",NA
"3215",1608,"RB","task",44,"Explicit",1
"3216",1608,"II","task",21,"Explicit",NA
"3217",1609,"RB","control",11,"Explicit",NA
"3218",1609,"II","control",18,"Explicit",NA
"3219",1610,"RB","task",94,"Procedural",1
"3220",1610,"II","task",NA,NA,1
"3221",1611,"RB","control",54,"Explicit",NA
"3222",1611,"II","control",76,"Explicit",NA
"3223",1612,"RB","task",99,"Procedural",1
"3224",1612,"II","task",15,"Explicit",NA
"3225",1613,"RB","control",20,"Explicit",NA
"3226",1613,"II","control",60,"Explicit",NA
"3227",1614,"RB","task",NA,NA,1
"3228",1614,"II","task",110,"Explicit",1
"3229",1615,"RB","control",11,"Explicit",NA
"3230",1615,"II","control",113,"Explicit",NA
"3231",1616,"RB","task",8,"Explicit",NA
"3232",1616,"II","task",25,"Explicit",NA
"3233",1617,"RB","control",10,"Explicit",NA
"3234",1617,"II","control",13,"Explicit",NA
"3235",1618,"RB","task",92,"Explicit",1
"3236",1618,"II","task",78,"Explicit",1
"3237",1619,"RB","control",34,"Explicit",NA
"3238",1619,"II","control",NA,NA,1
"3239",1620,"RB","task",NA,NA,1
"3240",1620,"II","task",22,"Explicit",NA
"3241",1621,"RB","control",9,"Explicit",NA
"3242",1621,"II","control",32,"Explicit",NA
"3243",1622,"RB","task",8,"Explicit",NA
"3244",1622,"II","task",45,"Explicit",NA
"3245",1623,"RB","control",12,"Explicit",NA
"3246",1623,"II","control",134,"Explicit",NA
"3247",1624,"RB","task",14,"Explicit",NA
"3248",1624,"II","task",22,"Explicit",NA
"3249",1625,"RB","control",9,"Explicit",NA
"3250",1625,"II","control",NA,NA,1
"3251",1626,"RB","task",56,"Explicit",1
"3252",1626,"II","task",22,"Explicit",NA
"3253",1627,"RB","control",27,"Explicit",NA
"3254",1627,"II","control",96,"Explicit",NA
"3255",1628,"RB","task",37,"Explicit",1
"3256",1628,"II","task",20,"Explicit",NA
"3257",1629,"RB","control",8,"Explicit",NA
"3258",1629,"II","control",8,"Explicit",NA
"3259",1630,"RB","task",8,"Explicit",NA
"3260",1630,"II","task",51,"Explicit",NA
"3261",1631,"RB","control",8,"Explicit",NA
"3262",1631,"II","control",179,"Explicit",1
"3263",1632,"RB","task",NA,NA,1
"3264",1632,"II","task",32,"Explicit",NA
"3265",1633,"RB","control",8,"Explicit",NA
"3266",1633,"II","control",51,"Explicit",NA
"3267",1634,"RB","task",32,"Explicit",NA
"3268",1634,"II","task",129,"Explicit",NA
"3269",1635,"RB","control",24,"Explicit",NA
"3270",1635,"II","control",57,"Explicit",NA
"3271",1636,"RB","task",8,"Explicit",NA
"3272",1636,"II","task",17,"Explicit",NA
"3273",1637,"RB","control",8,"Explicit",NA
"3274",1637,"II","control",50,"Explicit",NA
"3275",1638,"RB","task",169,"Explicit",1
"3276",1638,"II","task",57,"Explicit",NA
"3277",1639,"RB","control",9,"Explicit",NA
"3278",1639,"II","control",46,"Explicit",NA
"3279",1640,"RB","task",8,"Explicit",NA
"3280",1640,"II","task",21,"Explicit",NA
"3281",1641,"RB","control",8,"Explicit",NA
"3282",1641,"II","control",34,"Explicit",NA
"3283",1642,"RB","task",67,"Explicit",NA
"3284",1642,"II","task",74,"Explicit",1
"3285",1643,"RB","control",12,"Explicit",NA
"3286",1643,"II","control",20,"Explicit",NA
"3287",1644,"RB","task",15,"Explicit",NA
"3288",1644,"II","task",89,"Explicit",NA
"3289",1645,"RB","control",18,"Explicit",NA
"3290",1645,"II","control",69,"Explicit",NA
"3291",1646,"RB","task",72,"Explicit",1
"3292",1646,"II","task",NA,NA,1
"3293",1647,"RB","control",12,"Explicit",NA
"3294",1647,"II","control",62,"Explicit",NA
"3295",1648,"RB","task",124,"Explicit",1
"3296",1648,"II","task",33,"Explicit",NA
"3297",1649,"RB","control",14,"Explicit",NA
"3298",1649,"II","control",54,"Explicit",NA
"3299",1650,"RB","task",8,"Explicit",NA
"3300",1650,"II","task",52,"Explicit",NA
"3301",1651,"RB","control",13,"Explicit",NA
"3302",1651,"II","control",153,"Procedural",1
"3303",1652,"RB","task",8,"Explicit",NA
"3304",1652,"II","task",8,"Explicit",NA
"3305",1653,"RB","control",9,"Explicit",NA
"3306",1653,"II","control",76,"Explicit",NA
"3307",1654,"RB","task",136,"Explicit",1
"3308",1654,"II","task",88,"Explicit",NA
"3309",1655,"RB","control",18,"Explicit",NA
"3310",1655,"II","control",86,"Explicit",NA
"3311",1656,"RB","task",27,"Explicit",NA
"3312",1656,"II","task",8,"Explicit",NA
"3313",1657,"RB","control",12,"Explicit",NA
"3314",1657,"II","control",56,"Explicit",NA
"3315",1658,"RB","task",68,"Explicit",1
"3316",1658,"II","task",129,"Explicit",1
"3317",1659,"RB","control",11,"Explicit",NA
"3318",1659,"II","control",80,"Explicit",NA
"3319",1660,"RB","task",28,"Explicit",NA
"3320",1660,"II","task",36,"Explicit",NA
"3321",1661,"RB","control",28,"Explicit",NA
"3322",1661,"II","control",55,"Explicit",NA
"3323",1662,"RB","task",56,"Explicit",1
"3324",1662,"II","task",21,"Explicit",NA
"3325",1663,"RB","control",28,"Explicit",NA
"3326",1663,"II","control",NA,NA,1
"3327",1664,"RB","task",124,"Explicit",1
"3328",1664,"II","task",16,"Explicit",NA
"3329",1665,"RB","control",10,"Explicit",NA
"3330",1665,"II","control",92,"Procedural",NA
"3331",1666,"RB","task",31,"Explicit",NA
"3332",1666,"II","task",140,"Procedural",1
"3333",1667,"RB","control",22,"Explicit",NA
"3334",1667,"II","control",86,"Explicit",NA
"3335",1668,"RB","task",NA,NA,1
"3336",1668,"II","task",100,"Explicit",1
"3337",1669,"RB","control",14,"Explicit",NA
"3338",1669,"II","control",NA,NA,1
"3339",1670,"RB","task",8,"Explicit",NA
"3340",1670,"II","task",178,"Explicit",1
"3341",1671,"RB","control",12,"Explicit",NA
"3342",1671,"II","control",113,"Explicit",NA
"3343",1672,"RB","task",156,"Procedural",1
"3344",1672,"II","task",43,"Explicit",NA
"3345",1673,"RB","control",19,"Explicit",NA
"3346",1673,"II","control",21,"Explicit",NA
"3347",1674,"RB","task",92,"Explicit",1
"3348",1674,"II","task",45,"Explicit",NA
"3349",1675,"RB","control",10,"Explicit",NA
"3350",1675,"II","control",85,"Explicit",NA
"3351",1676,"RB","task",73,"Procedural",1
"3352",1676,"II","task",140,"Explicit",1
"3353",1677,"RB","control",12,"Explicit",NA
"3354",1677,"II","control",59,"Explicit",NA
"3355",1678,"RB","task",156,"Procedural",1
"3356",1678,"II","task",133,"Explicit",1
"3357",1679,"RB","control",14,"Explicit",NA
"3358",1679,"II","control",27,"Explicit",NA
"3359",1680,"RB","task",46,"Explicit",NA
"3360",1680,"II","task",114,"Explicit",1
"3361",1681,"RB","control",8,"Explicit",NA
"3362",1681,"II","control",17,"Explicit",NA
"3363",1682,"RB","task",31,"Explicit",NA
"3364",1682,"II","task",8,"Explicit",NA
"3365",1683,"RB","control",8,"Explicit",NA
"3366",1683,"II","control",21,"Explicit",NA
"3367",1684,"RB","task",8,"Explicit",NA
"3368",1684,"II","task",36,"Explicit",NA
"3369",1685,"RB","control",8,"Explicit",NA
"3370",1685,"II","control",82,"Explicit",NA
"3371",1686,"RB","task",8,"Explicit",NA
"3372",1686,"II","task",26,"Explicit",NA
"3373",1687,"RB","control",8,"Explicit",NA
"3374",1687,"II","control",36,"Explicit",NA
"3375",1688,"RB","task",24,"Explicit",NA
"3376",1688,"II","task",28,"Explicit",NA
"3377",1689,"RB","control",8,"Explicit",NA
"3378",1689,"II","control",10,"Explicit",NA
"3379",1690,"RB","task",17,"Explicit",NA
"3380",1690,"II","task",75,"Explicit",NA
"3381",1691,"RB","control",8,"Explicit",NA
"3382",1691,"II","control",8,"Explicit",NA
"3383",1692,"RB","task",NA,NA,1
"3384",1692,"II","task",24,"Explicit",NA
"3385",1693,"RB","control",11,"Explicit",NA
"3386",1693,"II","control",9,"Explicit",NA
"3387",1694,"RB","task",101,"Explicit",1
"3388",1694,"II","task",148,"Explicit",1
"3389",1695,"RB","control",9,"Explicit",NA
"3390",1695,"II","control",19,"Explicit",NA
"3391",1696,"RB","task",73,"Explicit",NA
"3392",1696,"II","task",11,"Explicit",NA
"3393",1697,"RB","control",13,"Explicit",NA
"3394",1697,"II","control",91,"Explicit",NA
"3395",1698,"RB","task",NA,NA,1
"3396",1698,"II","task",16,"Explicit",NA
"3397",1699,"RB","control",8,"Explicit",NA
"3398",1699,"II","control",123,"Procedural",NA
"3399",1700,"RB","task",29,"Explicit",NA
"3400",1700,"II","task",46,"Explicit",NA
"3401",1701,"RB","control",20,"Explicit",NA
"3402",1701,"II","control",54,"Explicit",NA
"3403",1702,"RB","task",8,"Explicit",NA
"3404",1702,"II","task",37,"Explicit",NA
"3405",1703,"RB","control",8,"Explicit",NA
"3406",1703,"II","control",93,"Explicit",NA
"3407",1704,"RB","task",141,"Explicit",1
"3408",1704,"II","task",69,"Explicit",NA
"3409",1705,"RB","control",32,"Explicit",NA
"3410",1705,"II","control",66,"Explicit",NA
"3411",1706,"RB","task",35,"Explicit",NA
"3412",1706,"II","task",30,"Explicit",NA
"3413",1707,"RB","control",17,"Explicit",NA
"3414",1707,"II","control",122,"Explicit",1
"3415",1708,"RB","task",84,"Explicit",1
"3416",1708,"II","task",17,"Explicit",NA
"3417",1709,"RB","control",9,"Explicit",NA
"3418",1709,"II","control",8,"Explicit",NA
"3419",1710,"RB","task",8,"Explicit",NA
"3420",1710,"II","task",11,"Explicit",NA
"3421",1711,"RB","control",9,"Explicit",NA
"3422",1711,"II","control",50,"Explicit",NA
"3423",1712,"RB","task",8,"Explicit",NA
"3424",1712,"II","task",82,"Procedural",1
"3425",1713,"RB","control",13,"Explicit",NA
"3426",1713,"II","control",52,"Explicit",NA
"3427",1714,"RB","task",17,"Explicit",NA
"3428",1714,"II","task",50,"Explicit",NA
"3429",1715,"RB","control",24,"Explicit",NA
"3430",1715,"II","control",52,"Explicit",NA
"3431",1716,"RB","task",35,"Explicit",1
"3432",1716,"II","task",16,"Explicit",NA
"3433",1717,"RB","control",26,"Explicit",NA
"3434",1717,"II","control",162,"Explicit",1
"3435",1718,"RB","task",8,"Explicit",NA
"3436",1718,"II","task",25,"Explicit",NA
"3437",1719,"RB","control",10,"Explicit",NA
"3438",1719,"II","control",30,"Explicit",NA
"3439",1720,"RB","task",NA,NA,1
"3440",1720,"II","task",159,"Procedural",1
"3441",1721,"RB","control",25,"Explicit",NA
"3442",1721,"II","control",85,"Explicit",1
"3443",1722,"RB","task",36,"Explicit",1
"3444",1722,"II","task",49,"Explicit",NA
"3445",1723,"RB","control",15,"Explicit",NA
"3446",1723,"II","control",37,"Explicit",NA
"3447",1724,"RB","task",15,"Explicit",NA
"3448",1724,"II","task",79,"Explicit",1
"3449",1725,"RB","control",9,"Explicit",NA
"3450",1725,"II","control",110,"Explicit",NA
"3451",1726,"RB","task",164,"Procedural",1
"3452",1726,"II","task",61,"Explicit",NA
"3453",1727,"RB","control",8,"Explicit",NA
"3454",1727,"II","control",200,"Explicit",1
"3455",1728,"RB","task",8,"Explicit",NA
"3456",1728,"II","task",51,"Explicit",NA
"3457",1729,"RB","control",8,"Explicit",NA
"3458",1729,"II","control",141,"Procedural",NA
"3459",1730,"RB","task",16,"Explicit",NA
"3460",1730,"II","task",70,"Explicit",NA
"3461",1731,"RB","control",10,"Explicit",NA
"3462",1731,"II","control",37,"Explicit",NA
"3463",1732,"RB","task",63,"Explicit",1
"3464",1732,"II","task",47,"Explicit",NA
"3465",1733,"RB","control",12,"Explicit",NA
"3466",1733,"II","control",38,"Explicit",NA
"3467",1734,"RB","task",23,"Explicit",NA
"3468",1734,"II","task",38,"Explicit",1
"3469",1735,"RB","control",20,"Explicit",NA
"3470",1735,"II","control",38,"Explicit",NA
"3471",1736,"RB","task",144,"Explicit",1
"3472",1736,"II","task",NA,NA,1
"3473",1737,"RB","control",11,"Explicit",NA
"3474",1737,"II","control",NA,NA,1
"3475",1738,"RB","task",14,"Explicit",NA
"3476",1738,"II","task",18,"Explicit",NA
"3477",1739,"RB","control",26,"Explicit",NA
"3478",1739,"II","control",24,"Explicit",NA
"3479",1740,"RB","task",97,"Procedural",1
"3480",1740,"II","task",20,"Explicit",NA
"3481",1741,"RB","control",18,"Explicit",NA
"3482",1741,"II","control",NA,NA,1
"3483",1742,"RB","task",200,"Procedural",1
"3484",1742,"II","task",NA,NA,1
"3485",1743,"RB","control",22,"Explicit",NA
"3486",1743,"II","control",159,"Explicit",1
"3487",1744,"RB","task",146,"Explicit",1
"3488",1744,"II","task",28,"Explicit",NA
"3489",1745,"RB","control",8,"Explicit",NA
"3490",1745,"II","control",29,"Explicit",NA
"3491",1746,"RB","task",123,"Procedural",1
"3492",1746,"II","task",138,"Explicit",1
"3493",1747,"RB","control",9,"Explicit",NA
"3494",1747,"II","control",36,"Explicit",NA
"3495",1748,"RB","task",NA,NA,1
"3496",1748,"II","task",155,"Procedural",1
"3497",1749,"RB","control",21,"Explicit",NA
"3498",1749,"II","control",134,"Explicit",1
"3499",1750,"RB","task",159,"Procedural",1
"3500",1750,"II","task",62,"Explicit",NA
"3501",1751,"RB","control",12,"Explicit",NA
"3502",1751,"II","control",54,"Explicit",NA
"3503",1752,"RB","task",NA,NA,1
"3504",1752,"II","task",125,"Explicit",1
"3505",1753,"RB","control",12,"Explicit",NA
"3506",1753,"II","control",18,"Explicit",NA
"3507",1754,"RB","task",193,"Explicit",1
"3508",1754,"II","task",103,"Explicit",1
"3509",1755,"RB","control",20,"Explicit",NA
"3510",1755,"II","control",66,"Explicit",NA
"3511",1756,"RB","task",20,"Explicit",NA
"3512",1756,"II","task",90,"Procedural",1
"3513",1757,"RB","control",9,"Explicit",NA
"3514",1757,"II","control",24,"Explicit",NA
"3515",1758,"RB","task",8,"Explicit",NA
"3516",1758,"II","task",18,"Explicit",NA
"3517",1759,"RB","control",12,"Explicit",NA
"3518",1759,"II","control",119,"Explicit",NA
"3519",1760,"RB","task",38,"Explicit",NA
"3520",1760,"II","task",48,"Explicit",NA
"3521",1761,"RB","control",8,"Explicit",NA
"3522",1761,"II","control",85,"Explicit",NA
"3523",1762,"RB","task",112,"Explicit",1
"3524",1762,"II","task",78,"Explicit",1
"3525",1763,"RB","control",10,"Explicit",NA
"3526",1763,"II","control",147,"Explicit",NA
"3527",1764,"RB","task",8,"Explicit",NA
"3528",1764,"II","task",84,"Explicit",NA
"3529",1765,"RB","control",8,"Explicit",NA
"3530",1765,"II","control",80,"Explicit",NA
"3531",1766,"RB","task",25,"Explicit",NA
"3532",1766,"II","task",12,"Explicit",NA
"3533",1767,"RB","control",15,"Explicit",NA
"3534",1767,"II","control",NA,NA,1
"3535",1768,"RB","task",21,"Explicit",NA
"3536",1768,"II","task",33,"Explicit",NA
"3537",1769,"RB","control",23,"Explicit",NA
"3538",1769,"II","control",36,"Explicit",NA
"3539",1770,"RB","task",NA,NA,1
"3540",1770,"II","task",NA,NA,1
"3541",1771,"RB","control",8,"Explicit",NA
"3542",1771,"II","control",23,"Explicit",NA
"3543",1772,"RB","task",8,"Explicit",NA
"3544",1772,"II","task",45,"Explicit",NA
"3545",1773,"RB","control",12,"Explicit",NA
"3546",1773,"II","control",35,"Explicit",NA
"3547",1774,"RB","task",NA,NA,1
"3548",1774,"II","task",50,"Explicit",NA
"3549",1775,"RB","control",10,"Explicit",NA
"3550",1775,"II","control",145,"Explicit",1
"3551",1776,"RB","task",63,"Explicit",NA
"3552",1776,"II","task",137,"Procedural",1
"3553",1777,"RB","control",8,"Explicit",NA
"3554",1777,"II","control",66,"Explicit",NA
"3555",1778,"RB","task",136,"Explicit",1
"3556",1778,"II","task",80,"Explicit",NA
"3557",1779,"RB","control",20,"Explicit",NA
"3558",1779,"II","control",146,"Explicit",1
"3559",1780,"RB","task",15,"Explicit",NA
"3560",1780,"II","task",52,"Explicit",NA
"3561",1781,"RB","control",8,"Explicit",NA
"3562",1781,"II","control",79,"Explicit",NA
"3563",1782,"RB","task",14,"Explicit",NA
"3564",1782,"II","task",24,"Explicit",NA
"3565",1783,"RB","control",9,"Explicit",NA
"3566",1783,"II","control",31,"Explicit",NA
"3567",1784,"RB","task",13,"Explicit",NA
"3568",1784,"II","task",14,"Explicit",NA
"3569",1785,"RB","control",17,"Explicit",NA
"3570",1785,"II","control",148,"Explicit",1
"3571",1786,"RB","task",8,"Explicit",NA
"3572",1786,"II","task",36,"Explicit",NA
"3573",1787,"RB","control",11,"Explicit",NA
"3574",1787,"II","control",23,"Explicit",NA
"3575",1788,"RB","task",97,"Explicit",1
"3576",1788,"II","task",18,"Explicit",NA
"3577",1789,"RB","control",20,"Explicit",NA
"3578",1789,"II","control",NA,NA,1
"3579",1790,"RB","task",26,"Explicit",NA
"3580",1790,"II","task",17,"Explicit",NA
"3581",1791,"RB","control",8,"Explicit",NA
"3582",1791,"II","control",71,"Explicit",NA
"3583",1792,"RB","task",13,"Explicit",NA
"3584",1792,"II","task",27,"Explicit",NA
"3585",1793,"RB","control",29,"Explicit",NA
"3586",1793,"II","control",89,"Procedural",NA
"3587",1794,"RB","task",184,"Explicit",1
"3588",1794,"II","task",61,"Explicit",NA
"3589",1795,"RB","control",14,"Explicit",NA
"3590",1795,"II","control",106,"Explicit",NA
"3591",1796,"RB","task",8,"Explicit",NA
"3592",1796,"II","task",NA,NA,1
"3593",1797,"RB","control",16,"Explicit",NA
"3594",1797,"II","control",115,"Explicit",NA
"3595",1798,"RB","task",42,"Explicit",1
"3596",1798,"II","task",68,"Explicit",NA
"3597",1799,"RB","control",8,"Explicit",NA
"3598",1799,"II","control",NA,NA,1
"3599",1800,"RB","task",70,"Explicit",1
"3600",1800,"II","task",64,"Explicit",NA
"3601",1801,"RB","control",13,"Explicit",NA
"3602",1801,"II","control",19,"Explicit",NA
"3603",1802,"RB","task",127,"Explicit",1
"3604",1802,"II","task",72,"Explicit",1
"3605",1803,"RB","control",27,"Explicit",NA
"3606",1803,"II","control",179,"Explicit",1
"3607",1804,"RB","task",8,"Explicit",NA
"3608",1804,"II","task",51,"Explicit",NA
"3609",1805,"RB","control",18,"Explicit",NA
"3610",1805,"II","control",54,"Explicit",NA
"3611",1806,"RB","task",175,"Explicit",1
"3612",1806,"II","task",104,"Explicit",1
"3613",1807,"RB","control",10,"Explicit",NA
"3614",1807,"II","control",115,"Explicit",NA
"3615",1808,"RB","task",8,"Explicit",NA
"3616",1808,"II","task",59,"Explicit",NA
"3617",1809,"RB","control",8,"Explicit",NA
"3618",1809,"II","control",162,"Explicit",NA
"3619",1810,"RB","task",8,"Explicit",NA
"3620",1810,"II","task",35,"Explicit",NA
"3621",1811,"RB","control",12,"Explicit",NA
"3622",1811,"II","control",138,"Explicit",NA
"3623",1812,"RB","task",53,"Explicit",NA
"3624",1812,"II","task",135,"Explicit",1
"3625",1813,"RB","control",11,"Explicit",NA
"3626",1813,"II","control",31,"Explicit",NA
"3627",1814,"RB","task",88,"Explicit",1
"3628",1814,"II","task",8,"Explicit",NA
"3629",1815,"RB","control",14,"Explicit",NA
"3630",1815,"II","control",106,"Explicit",NA
"3631",1816,"RB","task",8,"Explicit",NA
"3632",1816,"II","task",75,"Explicit",NA
"3633",1817,"RB","control",9,"Explicit",NA
"3634",1817,"II","control",132,"Explicit",NA
"3635",1818,"RB","task",134,"Explicit",1
"3636",1818,"II","task",16,"Explicit",NA
"3637",1819,"RB","control",11,"Explicit",NA
"3638",1819,"II","control",17,"Explicit",NA
"3639",1820,"RB","task",84,"Procedural",1
"3640",1820,"II","task",178,"Explicit",1
"3641",1821,"RB","control",48,"Explicit",NA
"3642",1821,"II","control",66,"Explicit",NA
"3643",1822,"RB","task",52,"Explicit",1
"3644",1822,"II","task",15,"Explicit",NA
"3645",1823,"RB","control",28,"Explicit",NA
"3646",1823,"II","control",20,"Explicit",NA
"3647",1824,"RB","task",111,"Explicit",1
"3648",1824,"II","task",47,"Explicit",NA
"3649",1825,"RB","control",9,"Explicit",NA
"3650",1825,"II","control",30,"Explicit",NA
"3651",1826,"RB","task",64,"Explicit",1
"3652",1826,"II","task",89,"Explicit",1
"3653",1827,"RB","control",8,"Explicit",NA
"3654",1827,"II","control",20,"Explicit",NA
"3655",1828,"RB","task",115,"Procedural",1
"3656",1828,"II","task",29,"Explicit",NA
"3657",1829,"RB","control",11,"Explicit",NA
"3658",1829,"II","control",193,"Explicit",1
"3659",1830,"RB","task",8,"Explicit",NA
"3660",1830,"II","task",23,"Explicit",NA
"3661",1831,"RB","control",11,"Explicit",NA
"3662",1831,"II","control",68,"Explicit",NA
"3663",1832,"RB","task",37,"Explicit",NA
"3664",1832,"II","task",23,"Explicit",NA
"3665",1833,"RB","control",10,"Explicit",NA
"3666",1833,"II","control",33,"Explicit",NA
"3667",1834,"RB","task",112,"Procedural",1
"3668",1834,"II","task",17,"Explicit",NA
"3669",1835,"RB","control",8,"Explicit",NA
"3670",1835,"II","control",85,"Explicit",NA
"3671",1836,"RB","task",NA,NA,1
"3672",1836,"II","task",105,"Procedural",NA
"3673",1837,"RB","control",12,"Explicit",NA
"3674",1837,"II","control",125,"Procedural",NA
"3675",1838,"RB","task",NA,NA,1
"3676",1838,"II","task",68,"Procedural",NA
"3677",1839,"RB","control",20,"Explicit",NA
"3678",1839,"II","control",48,"Explicit",NA
"3679",1840,"RB","task",113,"Explicit",1
"3680",1840,"II","task",19,"Explicit",NA
"3681",1841,"RB","control",10,"Explicit",NA
"3682",1841,"II","control",39,"Explicit",NA
"3683",1842,"RB","task",139,"Explicit",1
"3684",1842,"II","task",35,"Explicit",NA
"3685",1843,"RB","control",15,"Explicit",NA
"3686",1843,"II","control",146,"Explicit",1
"3687",1844,"RB","task",165,"Procedural",1
"3688",1844,"II","task",19,"Explicit",NA
"3689",1845,"RB","control",26,"Explicit",NA
"3690",1845,"II","control",35,"Explicit",NA
"3691",1846,"RB","task",41,"Explicit",1
"3692",1846,"II","task",170,"Explicit",1
"3693",1847,"RB","control",9,"Explicit",NA
"3694",1847,"II","control",52,"Explicit",NA
"3695",1848,"RB","task",19,"Explicit",NA
"3696",1848,"II","task",106,"Explicit",1
"3697",1849,"RB","control",30,"Explicit",NA
"3698",1849,"II","control",8,"Explicit",NA
"3699",1850,"RB","task",8,"Explicit",NA
"3700",1850,"II","task",26,"Explicit",NA
"3701",1851,"RB","control",34,"Explicit",NA
"3702",1851,"II","control",84,"Explicit",NA
"3703",1852,"RB","task",9,"Explicit",NA
"3704",1852,"II","task",100,"Explicit",1
"3705",1853,"RB","control",11,"Explicit",NA
"3706",1853,"II","control",10,"Explicit",NA
"3707",1854,"RB","task",128,"Explicit",1
"3708",1854,"II","task",187,"Explicit",1
"3709",1855,"RB","control",8,"Explicit",NA
"3710",1855,"II","control",34,"Explicit",NA
"3711",1856,"RB","task",53,"Explicit",1
"3712",1856,"II","task",29,"Explicit",NA
"3713",1857,"RB","control",24,"Explicit",NA
"3714",1857,"II","control",53,"Explicit",NA
"3715",1858,"RB","task",150,"Procedural",1
"3716",1858,"II","task",36,"Explicit",NA
"3717",1859,"RB","control",8,"Explicit",NA
"3718",1859,"II","control",169,"Explicit",1
"3719",1860,"RB","task",8,"Explicit",NA
"3720",1860,"II","task",45,"Explicit",NA
"3721",1861,"RB","control",14,"Explicit",NA
"3722",1861,"II","control",18,"Explicit",NA
"3723",1862,"RB","task",NA,NA,1
"3724",1862,"II","task",12,"Explicit",NA
"3725",1863,"RB","control",13,"Explicit",NA
"3726",1863,"II","control",8,"Explicit",NA
"3727",1864,"RB","task",121,"Explicit",1
"3728",1864,"II","task",70,"Procedural",1
"3729",1865,"RB","control",8,"Explicit",NA
"3730",1865,"II","control",86,"Explicit",NA
"3731",1866,"RB","task",107,"Explicit",1
"3732",1866,"II","task",46,"Explicit",NA
"3733",1867,"RB","control",12,"Explicit",NA
"3734",1867,"II","control",71,"Explicit",NA
"3735",1868,"RB","task",45,"Explicit",1
"3736",1868,"II","task",137,"Explicit",1
"3737",1869,"RB","control",8,"Explicit",NA
"3738",1869,"II","control",NA,NA,1
"3739",1870,"RB","task",30,"Explicit",NA
"3740",1870,"II","task",34,"Explicit",NA
"3741",1871,"RB","control",16,"Explicit",NA
"3742",1871,"II","control",70,"Explicit",NA
"3743",1872,"RB","task",NA,NA,1
"3744",1872,"II","task",23,"Explicit",NA
"3745",1873,"RB","control",21,"Explicit",NA
"3746",1873,"II","control",82,"Explicit",NA
"3747",1874,"RB","task",8,"Explicit",NA
"3748",1874,"II","task",34,"Explicit",NA
"3749",1875,"RB","control",16,"Explicit",NA
"3750",1875,"II","control",8,"Explicit",NA
"3751",1876,"RB","task",8,"Explicit",NA
"3752",1876,"II","task",18,"Explicit",NA
"3753",1877,"RB","control",30,"Explicit",NA
"3754",1877,"II","control",NA,NA,1
"3755",1878,"RB","task",NA,NA,1
"3756",1878,"II","task",85,"Explicit",1
"3757",1879,"RB","control",18,"Explicit",NA
"3758",1879,"II","control",NA,NA,1
"3759",1880,"RB","task",85,"Explicit",1
"3760",1880,"II","task",26,"Explicit",NA
"3761",1881,"RB","control",9,"Explicit",NA
"3762",1881,"II","control",133,"Explicit",NA
"3763",1882,"RB","task",NA,NA,1
"3764",1882,"II","task",43,"Explicit",NA
"3765",1883,"RB","control",17,"Explicit",NA
"3766",1883,"II","control",102,"Explicit",NA
"3767",1884,"RB","task",30,"Explicit",NA
"3768",1884,"II","task",26,"Explicit",NA
"3769",1885,"RB","control",14,"Explicit",NA
"3770",1885,"II","control",68,"Explicit",NA
"3771",1886,"RB","task",8,"Explicit",NA
"3772",1886,"II","task",24,"Explicit",NA
"3773",1887,"RB","control",44,"Explicit",NA
"3774",1887,"II","control",13,"Explicit",NA
"3775",1888,"RB","task",8,"Explicit",NA
"3776",1888,"II","task",15,"Explicit",NA
"3777",1889,"RB","control",8,"Explicit",NA
