"subj","phase","block","trial","stim","resp","rt","pstimL","pstimR","outcome","date"
3,1,2,13,"AX",1,0.626324777608,"apple","strawberry","Stomach Ache","2016_Oct_18_1555"
3,1,2,14,"A",1,0.594142910035,"strawberry","","Stomach Ache","2016_Oct_18_1555"
3,1,2,15,"AX",1,0.656585859542,"strawberry","apple","Stomach Ache","2016_Oct_18_1555"
3,1,2,16,"CY",0,0.797432379855,"pear","banana","No Stomach Ache","2016_Oct_18_1555"
3,1,3,17,"BY",1,0.87535046722,"pear","orange","Stomach Ache","2016_Oct_18_1555"
3,1,3,18,"A",1,0.56288473634,"strawberry","","Stomach Ache","2016_Oct_18_1555"
3,1,3,19,"AX",1,0.468314967758,"apple","strawberry","Stomach Ache","2016_Oct_18_1555"
3,1,3,20,"CY",0,0.68790374673,"pear","banana","No Stomach Ache","2016_Oct_18_1555"
3,1,3,21,"A",1,0.687869846821,"","strawberry","Stomach Ache","2016_Oct_18_1555"
3,1,3,22,"CY",0,0.878906533064,"banana","pear","No Stomach Ache","2016_Oct_18_1555"
3,1,3,23,"AX",1,0.69127911696,"strawberry","apple","Stomach Ache","2016_Oct_18_1555"
3,1,3,24,"BY",1,2.98460261413,"orange","pear","Stomach Ache","2016_Oct_18_1555"
3,1,4,25,"A",1,1.46922777634,"","strawberry","Stomach Ache","2016_Oct_18_1555"
3,1,4,26,"AX",1,0.937939901429,"strawberry","apple","Stomach Ache","2016_Oct_18_1555"
3,1,4,27,"CY",0,1.06286965247,"pear","banana","No Stomach Ache","2016_Oct_18_1555"
3,1,4,28,"A",1,0.816245877941,"strawberry","","Stomach Ache","2016_Oct_18_1555"
3,1,4,29,"BY",1,1.09423854505,"orange","pear","Stomach Ache","2016_Oct_18_1555"
3,1,4,30,"BY",1,1.87564685784,"pear","orange","Stomach Ache","2016_Oct_18_1555"
3,1,4,31,"CY",0,1.65666952066,"banana","pear","No Stomach Ache","2016_Oct_18_1555"
3,1,4,32,"AX",1,1.03188765392,"apple","strawberry","Stomach Ache","2016_Oct_18_1555"
4,1,1,1,"CY",1,17.3145240622,"banana","strawberry","No Stomach Ache","2016_Oct_18_1602"
4,1,1,2,"CY",1,7.31321969297,"strawberry","banana","No Stomach Ache","2016_Oct_18_1602"
4,1,1,3,"BY",0,11.1454014139,"pear","strawberry","Stomach Ache","2016_Oct_18_1602"
4,1,1,4,"AX",1,6.80026945769,"orange","apple","Stomach Ache","2016_Oct_18_1602"
4,1,1,5,"BY",1,2.96925464034,"strawberry","pear","Stomach Ache","2016_Oct_18_1602"
4,1,1,6,"AX",1,6.90714034904,"apple","orange","Stomach Ache","2016_Oct_18_1602"
4,1,1,7,"A",1,1.87285509153,"apple","","Stomach Ache","2016_Oct_18_1602"
4,1,1,8,"A",1,3.15683719364,"","apple","Stomach Ache","2016_Oct_18_1602"
4,1,2,9,"BY",1,4.98514623771,"strawberry","pear","Stomach Ache","2016_Oct_18_1602"
4,1,2,10,"AX",1,3.34785639,"apple","orange","Stomach Ache","2016_Oct_18_1602"
4,1,2,11,"CY",0,1.56324682845,"strawberry","banana","No Stomach Ache","2016_Oct_18_1602"
4,1,2,12,"BY",1,1.21918007603,"pear","strawberry","Stomach Ache","2016_Oct_18_1602"
4,1,2,13,"CY",0,3.33183790115,"banana","strawberry","No Stomach Ache","2016_Oct_18_1602"
4,1,2,14,"A",1,1.93947309576,"apple","","Stomach Ache","2016_Oct_18_1602"
4,1,2,15,"A",1,5.97047037224,"","apple","Stomach Ache","2016_Oct_18_1602"
4,1,2,16,"AX",1,1.15359928494,"orange","apple","Stomach Ache","2016_Oct_18_1602"
4,1,3,17,"CY",0,1.09454438352,"strawberry","banana","No Stomach Ache","2016_Oct_18_1602"
4,1,3,18,"AX",1,1.15936538111,"apple","orange","Stomach Ache","2016_Oct_18_1602"
4,1,3,19,"A",1,1.12542845297,"apple","","Stomach Ache","2016_Oct_18_1602"
4,1,3,20,"BY",1,1.11263512151,"strawberry","pear","Stomach Ache","2016_Oct_18_1602"
4,1,3,21,"A",1,1.75067481049,"","apple","Stomach Ache","2016_Oct_18_1602"
4,1,3,22,"AX",1,1.59739306523,"orange","apple","Stomach Ache","2016_Oct_18_1602"
4,1,3,23,"CY",0,1.09422062378,"banana","strawberry","No Stomach Ache","2016_Oct_18_1602"
4,1,3,24,"BY",1,1.87548964389,"pear","strawberry","Stomach Ache","2016_Oct_18_1602"
4,1,4,25,"CY",0,1.65697388182,"banana","strawberry","No Stomach Ache","2016_Oct_18_1602"
4,1,4,26,"CY",0,1.56298744737,"strawberry","banana","No Stomach Ache","2016_Oct_18_1602"
4,1,4,27,"BY",1,1.87598165922,"strawberry","pear","Stomach Ache","2016_Oct_18_1602"
4,1,4,28,"A",1,0.875428064202,"apple","","Stomach Ache","2016_Oct_18_1602"
4,1,4,29,"A",1,0.405484695744,"","apple","Stomach Ache","2016_Oct_18_1602"
4,1,4,30,"AX",1,0.68782094121,"orange","apple","Stomach Ache","2016_Oct_18_1602"
4,1,4,31,"BY",1,2.59698471113,"pear","strawberry","Stomach Ache","2016_Oct_18_1602"
4,1,4,32,"AX",1,1.09410212957,"apple","orange","Stomach Ache","2016_Oct_18_1602"
5,1,1,1,"AX",1,9.50310121663,"orange","apple","Stomach Ache","2016_Oct_19_1457"
5,1,1,2,"A",1,5.21606381383,"","apple","Stomach Ache","2016_Oct_19_1457"
5,1,1,3,"A",1,5.03213801543,"apple","","Stomach Ache","2016_Oct_19_1457"
5,1,1,4,"BY",1,4.87557190488,"strawberry","banana","Stomach Ache","2016_Oct_19_1457"
5,1,1,5,"BY",1,5.68808941852,"banana","strawberry","Stomach Ache","2016_Oct_19_1457"
5,1,1,6,"CY",1,8.18685984827,"pear","strawberry","No Stomach Ache","2016_Oct_19_1457"
5,1,1,7,"CY",0,4.22354511218,"strawberry","pear","No Stomach Ache","2016_Oct_19_1457"
5,1,1,8,"AX",1,3.9068328776,"apple","orange","Stomach Ache","2016_Oct_19_1457"
5,1,2,9,"CY",0,5.36293455987,"strawberry","pear","No Stomach Ache","2016_Oct_19_1457"
5,1,2,10,"CY",0,1.90672184783,"pear","strawberry","No Stomach Ache","2016_Oct_19_1457"
5,1,2,11,"A",1,2.3785605366,"","apple","Stomach Ache","2016_Oct_19_1457"
5,1,2,12,"BY",1,3.31308463681,"banana","strawberry","Stomach Ache","2016_Oct_19_1457"
5,1,2,13,"A",1,1.34673943842,"apple","","Stomach Ache","2016_Oct_19_1457"
5,1,2,14,"AX",1,2.37553349539,"orange","apple","Stomach Ache","2016_Oct_19_1457"
5,1,2,15,"BY",1,2.28382500075,"strawberry","banana","Stomach Ache","2016_Oct_19_1457"
5,1,2,16,"AX",1,1.92409755575,"apple","orange","Stomach Ache","2016_Oct_19_1457"
5,1,3,17,"CY",0,2.59418707323,"strawberry","pear","No Stomach Ache","2016_Oct_19_1457"
